created_at,favorite_count,retweet_count,view_count,text
Tue Jan 02 18:53:17 +0000 2024,384,34,118030,Apple $AAPL is now down 4% on the day  :red_apple:  [URL]
Tue Jan 02 15:27:53 +0000 2024,606,39,52055,"So Dan Ives was just on reiterating his good opinion on Tesla and explaining how the story was Tesla and BYD leading the pack and all the OTHERS falling back.Upon which he got CUT-OFF and the woman said : ""O.K. let's now talk about AAPL""!Right? ENOUGH of this Tesla SUCCESS! At…"
Tue Jan 02 21:30:00 +0000 2024,209,28,36571,$AAPL Watching the volume shelf and 200 day SMA sitting at ~$180.  :red_apple:  [URL]
Tue Jan 02 19:41:58 +0000 2024,39,5,4163,THIS IS A HUGE PROBLEM $AAPL $MSFT [URL]
Tue Jan 02 22:12:03 +0000 2024,9,1,560,Today $AAPL said:“f*ck your calls.” [URL]
Tue Jan 02 21:37:33 +0000 2024,460,67,57220,Apple $AAPL suffers largest drop since September 6 [URL]
Tue Jan 02 15:56:01 +0000 2024,134,10,10082,That's a pretty big down day for $AAPL. maybe people are starting to realize just how pricey these mega-cap names are [URL]
Tue Jan 02 20:32:04 +0000 2024,576,56,25920,"So they waited until the end of the year pump is over so they can cash in their bonuses, then decided to downgrade $AAPL in the pre market session today. You didn't know that the fundamentals didn't match the valuation last year?Some people have a special place in hell"
Tue Jan 02 18:04:46 +0000 2024,16,3,2945,Not scary  :face_screaming_in_fear:  at all$AAPL$MSFT [URL]
Tue Jan 02 23:38:40 +0000 2024,96,11,24871,Apple $AAPL gained nearly $68 in 2023. It gave up more than 10% of that gain on the first day of 2024 with a $6.89 decline. [URL]
Tue Jan 02 23:15:09 +0000 2024,12,2,4392,$AAPL 2023 will be remembered as the first year Apple released no new iPad since its debut in 2010.Can someone guess why? [URL]
Tue Jan 02 21:39:23 +0000 2024,31,1,4472,Weekly consolidation begins! $AAPL leads the way down. $XLV bulls stand out in a big was as well: [URL]
Tue Jan 02 17:03:18 +0000 2024,88,10,13904,"The $AAPL downgrade hit Tech hard and money is moving to defensive sectors. IBDPartner We don't have a position, but $AAPL's price action weighs heavily on the overall market and investor sentiment. The 1st week or 2 of the year can set the tone for the rest of the year. Let's… [URL]"
Tue Jan 02 20:50:26 +0000 2024,30,3,8483,"Shall we start with the 2008 charts for your pleasure again?January 2, 2008, $AAPL. and all what followed. [URL]"
Tue Jan 02 21:45:35 +0000 2024,7,1,1373,"Our top predictor today is @USArmyVet609.See his predctions for $SPY, $WMT, and $AAPL, and follow him to see more![URL] [URL]"
Tue Jan 02 23:30:16 +0000 2024,26,4,8644,"$BA $SQ $PYPL $TSLA $HOOD $PYPL $COIN $AAPL $MSFT $NVDA ETC SO MUCH TO SHARE, BUT WILL CHOOSE ONE:QUITE A FEW OF YOU OF YOU CHANGED YOUR LIFE, FROM A SATURDAY SESSON ON 10/28 ABOUT — BOEING — PRODUCTION, DELIVERIES, DEMAND NO “PLAY CALLS” — NO “CALL OUTS”WE DISSECTED THE…"
Wed Jan 03 18:43:07 +0000 2024,172,51,116398,"‘The Biggest Red Signal In the Market’ Right Now Is Apple  :red_apple: @KeithMcCullough discussed yesterday’s -3.5% slide of Apple $AAPL on ""The Macro Show"" this morning. Apple is down around -1% today.“When you start talking about these trillion-dollar market caps and their impact on… [URL]"
