,created_at,favorite_count,retweet_count,view_count,text
0,Mon Jan 01 20:48:37 +0000 2024,50,13,7669,"$AAPL - Monthly Chart:

⚠️Reversal candles in the monthly are something to pay attention when they come up in the #Apple chart.

⚠️This increases the odds for a pullback starting the year.

ℹ️Stochastic shows a bullish crossover, that was meaningless on 2021 as indicated, and the… https://t.co/SL2UJ4aMHe"
1,Mon Jan 01 12:48:10 +0000 2024,8,2,1790,"Happy New Year, Traders! Best of luck 2024 $AAPL $ABBV $ADBE $AMD $AMZN $AZO $BA $BABA $DIS $META $FDX $HD $INTC $IWM $JPM $LMT $LOW $MA $MSFT $NFLX $NVDA $RH $ROKU $SNAP $SPY $T $TLT $TSLA $UVXY $V $VXX $XOM https://t.co/iIblcslAwu"
2,Mon Jan 01 23:24:59 +0000 2024,100,22,6916,"More than 42 million transactions were completed in just 24hrs. That’s the power of $algo #Algorand,despite those who mistakenly call it a dead chain. 🤡 
$btc $sol $ada $shib $doge $hbar $spy $tsla $nvda $amzn $meta $googl $nflx $aapl $ba $avgo. $cro $bnb https://t.co/HHnsLWLMUl"
3,Mon Jan 01 20:13:15 +0000 2024,1,0,252,LETS GET LITTLE BIT ROMANTIC!! $AAPL https://t.co/3DNjxJvoWh
4,Mon Jan 01 16:12:30 +0000 2024,27,7,1772,"🚨THE END, IS THE BEGINNING🚨E1 S2

We wrapped up with OpEx &amp; it lived up to it’s reputation!

GEX was heavy at 4850 &amp; 4800, once we knew the mission, the ride was an simple trade!

It’s a new year, but it is the same market!

Lets plan &amp; grow!

$SPY $SPX $ES $MES $NQ $QQQ $AAPL https://t.co/huZB3TpGry"
5,Mon Jan 01 01:09:00 +0000 2024,2,0,361,"Starting New Year with a fresh new setup 🔥 
 
Locked in and super excited to crush 2024 with the gang 💪 
 
Hope everyone has a fun and safe New Year’s Eve ❤️ 

$SPY $AAPL $TSLA $NVDA $AMD $QQQ $NQ $MSFT $NFLX $AMZN $META $GOOGL https://t.co/8JlNanzJhh"
6,Mon Jan 01 19:28:03 +0000 2024,799,174,131585,"Last 10 Years...
NVIDIA $NVDA: +13,006%
Bitcoin $BTC: +5,482%
$AMD: +3,709%
Tesla $TSLA: +2,378%
Microsoft $MSFT: +1,094%
Apple $AAPL: +997%
Netflix $NFLX: +826%
Amazon $AMZN: +664%
Facebook $META: +548%
Google $GOOGL: +398%
S&amp;P 500 $SPY: +208%
Gold $GLD: +65%
US CPI: +32%"
7,Mon Jan 01 18:45:54 +0000 2024,6,0,554,How $AAPL &amp; $GOOGL makes money. https://t.co/XQ0EYMDId7
8,Mon Jan 01 19:41:10 +0000 2024,23,4,3443,"$MARA #MARA ıf gives the opportunity in the $19-$20 range this week, I will add it. if not, I will continue with what I have.

#Bitcoin $AMZN $MSFT $SPCE $SMCI $SOFI $ENPH $TEAM $GOOGL $CFLT $DOCN $PATH $PANW $AAPL $BLNK $ASTS $CELH $CRWD $CVNA $SMCI $S $TMDX $MDB $GLBE $MELI… https://t.co/oe2CdgrKxT"
9,Mon Jan 01 16:33:43 +0000 2024,152,21,13984,"30 Years Of Dividend Stocks
Beating the S&amp;P 500 $VOO

🛒 $PG 
🧰 $HD
🚬 $MO
🎯 $TGT
📦 $UPS
🏦 $BAC
🧪 $BMY
🍔 $MCD
🍎 $AAPL
💊 $ABBV

16.37% Annually Since 1993.
Do you think they can outperform?"
10,Mon Jan 01 18:52:07 +0000 2024,7,1,3171,WHO ELSE IS EXCITED FOR THE FIRST TRADING DAY OF 2024 TOMORROW!!! $SPY $AMZN $TSLA $AAPL $NVDA https://t.co/vQs4f8yt5E
11,Mon Jan 01 12:59:10 +0000 2024,5,2,419,"Biggest World market cap gains and losses 2023:

Losses:                  Gains:
1.  $PFE (125)      1. $MSFT 1,007
2. $JNJ (85)         2. $AAPL 927
3. Meituan (73)  3. $NVDA 864
4. $CVX (66)      4. $AMZN 713
5. $BMY (55)      5. $GOOG 610
6. $XOM (55)     6. $META 594 https://t.co/sQbiyJbm13"
12,Mon Jan 01 21:46:21 +0000 2024,15,3,2254,"$AAPL over 193, 1/12 195C
$AMD over 147, 1/12 150C
$BABA over 77, 1/19 80C
$NFLX under 485, 480P
$NVDA over 500, 510C
$TSLA under 250, 245P

$COIN $MSTR looking dumpster fire ish after Fridays candle. would short coin under 170 to 162. would short MSTR under 622 ish down to 600.… https://t.co/MaGTeJfB5o"
13,Mon Jan 01 20:16:13 +0000 2024,24,2,3280,"On the right shoulder of the great inverse H&amp;S formation! (optimum pick-up location)
$HUT will put a smile on our faces in 2024 #HUT 

$AMZN $MSFT $SPCE $SMCI $SOFI $ENPH $TEAM $GOOGL $CFLT $DOCN $PATH $PANW $AAPL $BLNK $ASTS $CELH $CRWD $CVNA $SMCI $S $TMDX $MDB $GLBE $MELI… https://t.co/gWzkJx73nC"
14,Mon Jan 01 22:00:35 +0000 2024,130,6,33853,"My top 5 Small Caps to Watch in January:
$PLTR
$MARA
$SOFI
$NIO
$EYE

Top Mega Pick to Outperform in January: $AAPL $TSLA

OTHERS: $XLF Financials, $JPM $C"
15,Mon Jan 01 17:06:04 +0000 2024,6,4,551,"Trade Update #2: 

$XLK like a bottle rocket... 

$SPY $QQQ $TSLA $NVDA $AAPL $AMZN $MSFT $GOOG $META https://t.co/zE7zfkEgUY"
16,Mon Jan 01 18:37:29 +0000 2024,17,4,2694,"$MARA is the $AAPL of crypto. Going to be a fun two weeks with the #BTC ETF coming.

Strap up."
